SSDSE-B-2026,Code,Prefecture,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A4101,A410101,A410102,A4103,A4200,A420001,A420002,A5101,A510101,A510102,A5102,A510201,A510202,A9101,A9201,B4101,B4102,B4103,B4106,B4109,C3301,C3302,C3801,C3802,C5401,C5403,E1101,E1301,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3701,E3702,E4101,E4401,E4501,E4601,E4602,E6101,E6102,E6201,E6202,E6301,E6302,E6501,E650110,E6502,E650210,E7101,E7102,E7201,E7202,F3101,F3102,F3103,F3104,F3105,G5105,G7101,G7102,H1800,H1801,H1802,H1803,H2600,H2601,H2602,H2603,H5609,H5610,H5614,I510120,I5102,I5103,J2503,J2505,J250502,J2506,J2526,L3221,L322101,L322102,L322103,L322104,L322105,L322106,L322107,L322108,L322109,L322110
2013,R11000,çÈã åß,7228000,3614000,3614000,7140000,3576000,3564000,934000,479000,455000,4627000,2379000,2248000,1661000,757000,904000,57470,29418,28052,1.33,60264,32859,27405,157910,86573,71337,146356,81222,65134,36279,13138,15.6,33.9,-1.2,92,1251.0,43352,9111496,725,20847,103400,240200,626,7268,114030,821,20127,382020,452,12332,196384,65774,63596,196,11087,176764,55057,31172,13,29,253,4414,4519,117272,1862,50,22843,1326,108,31,20147,2873,190599,865698,492403,34361,40998,202547,3591650,96220,62376,20091,21922,20211,5427524,2421073,1925993,1070479,2414255,908,24.9,292,4149,3489,977,85983,902,87178,14304,308737,74241,17449,24042,10585,13893,11745,41066,13896,39085,62735
2012,R11000,çÈã åß,7216000,3612000,3604000,7130000,3574000,3555000,940000,482000,458000,4687000,2407000,2280000,1585000,723000,862000,56943,29155,27788,1.29,59137,32440,26697,157961,86369,71592,147663,82078,65585,36776,13434,15.1,35.2,-1.6,101,1079.0,40384,8481803,747,20972,107800,247200,627,7240,115352,822,20142,385264,449,12238,196960,65936,63683,201,11246,177631,57520,32464,14,29,248,4386,4386,117691,1868,72,22820,1366,107,31,19801,2896,210465,949601,479521,35673,42631,240533,3179100,85860,60100,18801,19930,21161,5215403,2266154,1978359,960612,2424962,914,25.2,296,4114,3437,952,83079,1075,84666,13548,314879,72512,22164,23740,10680,14441,12152,37698,25131,32835,63527
2023,R12000,êÁótåß,6257000,3099000,3158000,6081000,3013000,3068000,703000,361000,342000,3798000,1956000,1843000,1756000,783000,973000,35658,18243,17415,1.14,73002,38963,34039,140104,76099,64005,123729,68237,55492,23251,9151,18.1,33.8,2.7,83,1268.5,26605,5849149,1238,61462,83200,284900,451,4843,56945,756,18642,299819,388,10888,155991,52937,49315,181,9624,136735,43039,27838,8,27,164,4082,2781,107835,1253,147,23986,2754,92,14,20033,530,97244,547065,529591,12679,15936,189343,25148140,3130630,43368,10109,17689,15373,3363249,1139867,1407304,799127,1937594,839,22.6,256,3942,3202,1217,108662,140,89333,15378,306943,89043,18625,22471,12761,10299,16273,39365,7370,31683,59052
2022,R12000,êÁótåß,6266000,3104000,3162000,6100000,3024000,3076000,717000,367000,349000,3796000,1954000,1843000,1753000,783000,970000,36966,19002,17964,1.18,72258,38833,33425,144533,78596,65937,125793,69337,56456,24824,8605,16.7,31.3,2.0,107,1427.5,28498,6354752,1234,59805,79300,266200,459,4972,61885,759,18560,303407,388,10842,157236,52897,49706,181,9598,139061,45820,28600,8,27,171,4081,2942,108807,1369,190,23992,2838,92,14,20920,400,100318,561304,540527,13491,16732,72562,20889150,785630,47580,11612,18263,17373,3765887,1324274,1602820,809060,1996669,867,22.6,256,3939,3241,1329,119857,250,102287,15259,304582,84638,17470,22865,11214,9641,16401,48137,10830,30015,53370
2021,R12000,êÁótåß,6275000,3111000,3164000,6114000,3033000,3081000,727000,373000,354000,3800000,1956000,1844000,1748000,782000,966000,38426,19614,18812,1.21,65244,35279,29965,143204,78328,64876,124979,69176,55803,24234,9011,17.1,31.0,2.3,106,1834.5,30482,7000328,1256,59684,76500,258600,471,5050,66786,764,18454,306105,389,10836,158265,52736,49936,181,9680,141358,46852,28714,8,27,174,4110,3054,106037,1410,182,23143,2980,92,14,22309,411,104284,602972,500697,14361,17939,31254,11994130,536050,45943,13552,16978,15137,3773584,1569259,1439580,744376,2027937,880,22.7,255,3838,3194,1288,116903,428,108253,15738,311484,86547,19810,21258,14461,9053,15928,45496,15273,27809,55850
2020,R12000,êÁótåß,6284480,3117987,3166493,6040814,2998797,3042017,734496,376619,357877,3715691,1905387,1810304,1699991,762793,937198,40168,20470,19698,1.27,62118,33803,28315,143177,78388,64789,126407,70072,56335,24996,9187,17.0,33.2,4.5,115,1791.5,27947,6245996,1268,58484,75600,252900,474,4993,70331,777,18436,309553,395,10801,156873,51297,48926,182,9785,145920,48202,28017,8,27,178,4114,3145,104866,1472,182,22013,2553,96,18,22179,439,106998,576247,482168,14379,17658,74250,12237050,1067290,43121,12549,15165,14998,3550644,1452561,1409950,666347,2061897,894,22.0,255,3780,3169,1235,111235,833,100009,15850,303193,82761,23198,20927,11832,9491,16062,41589,19252,26219,51863
2019,R12000,êÁótåß,6283000,3120000,3162000,6131000,3047000,3084000,739000,379000,360000,3777000,1939000,1837000,1743000,786000,957000,40799,20844,19955,1.28,62004,33522,28482,146240,79475,66765,129053,71548,57505,28649,10072,16.8,32.0,2.4,117,1697.0,29718,6419988,1289,60163,74600,246000,488,5037,73309,790,18439,312865,400,10841,157078,53336,51252,182,9781,148326,48289,27005,8,27,190,4110,3196,104562,1489,169,21691,2528,100,18,21634,578,99812,492363,584308,18122,23254,242396,26813580,4718120,44376,12198,15606,16496,3700792,1422875,1581489,689721,2092336,905,21.3,255,3818,3273,1167,106425,1020,97620,15510,306737,77778,16015,21287,11949,11759,14900,46974,14700,32342,59032
2018,R12000,êÁótåß,6273000,3117000,3156000,6136000,3052000,3084000,748000,383000,364000,3785000,1943000,1842000,1721000,778000,944000,43404,22307,21097,1.34,59561,32209,27352,146078,79619,66459,129154,71753,57401,28202,10250,17.2,32.2,1.8,96,1261.0,30519,6622604,1307,57626,73500,227400,510,5241,76758,803,18450,315874,402,10854,157979,53790,51872,183,9724,150698,48998,26950,8,27,201,4117,3223,101720,1479,161,21289,2414,99,18,20817,593,104583,510064,608257,20903,26925,234532,23587620,4061420,47344,12606,18161,15442,3810305,1475129,1502639,772553,2064300,897,22.4,253,3791,3269,1101,104364,1392,102807,14674,320447,84992,14700,22938,10962,12070,14076,48066,21150,35544,55950
2017,R12000,êÁótåß,6258000,3111000,3147000,6137000,3055000,3082000,755000,387000,368000,3799000,1950000,1849000,1692000,766000,926000,44055,22647,21408,1.34,59013,31981,27032,145367,80337,65030,129164,71997,57167,28692,10360,16.3,31.4,2.8,90,1250.0,30818,6993519,1328,55404,72500,220200,520,5290,80085,805,18381,316441,402,10912,161500,54798,53223,183,9713,151839,49149,27348,8,27,205,4108,3393,101147,1658,207,21123,2604,97,19,19924,590,112270,532527,602897,23755,30123,225923,22707540,3654460,51413,12680,21575,16816,4068406,1490614,1644724,914556,2074990,903,22.3,254,3759,3255,940,91435,1787,90202,12862,294940,79280,7803,21001,10554,12064,12696,42048,13670,36261,59563
2016,R12000,êÁótåß,6242000,3104000,3138000,6135000,3056000,3080000,762000,391000,371000,3818000,1959000,1860000,1655000,750000,905000,45389,23275,22114,1.35,56398,30737,25661,143081,79076,64005,127006,71421,55585,29616,10616,16.8,31.2,3.0,107,1604.5,30842,6358940,1333,54158,72000,216300,534,5428,83985,816,18307,318489,405,10962,163368,55188,53591,183,9673,152551,49330,27450,10,27,201,4015,3633,100426,1704,197,21619,2457,99,18,19468,504,120302,556477,561963,25907,32688,214735,20286820,3326710,50262,12425,21411,16286,3988514,1462873,1582383,932302,2094316,913,22.7,252,3778,3256,886,88407,1460,87543,12530,312146,80029,21073,19489,11172,12355,12963,43994,14250,36831,59989
2015,R12000,êÁótåß,6222666,3095860,3126806,6047216,3010553,3036663,762112,390766,371346,3779812,1930763,1849049,1584419,718312,866107,47019,24044,22975,1.38,56080,30309,25771,143390,79626,63764,132785,74645,58140,30222,10924,16.7,30.6,2.9,117,1615.5,29915,6088352,1351,49070,71500,211900,541,5532,86946,820,18222,320755,406,11005,165031,55425,53999,183,9635,152419,48944,27433,10,27,208,3814,3605,99933,1615,172,21214,2492,98,18,18171,553,128666,592422,522976,27180,34138,183875,20897420,3458400,47407,12471,18837,15850,3873265,1487374,1515954,853904,2120485,925,22.7,251,3751,3237,849,85461,1646,84829,11908,303766,75121,20240,20922,11309,13851,12302,41280,10692,32104,65944
2014,R12000,êÁótåß,6209000,3089000,3119000,6125000,3054000,3071000,778000,399000,379000,3848000,1972000,1877000,1571000,712000,859000,46753,23993,22760,1.32,53978,28945,25033,137199,76305,60894,128835,71681,57154,30589,10643,16.3,30.8,2.0,101,1495.5,29458,6903969,1377,51555,71100,205700,563,5702,91277,830,18227,323173,407,10900,165446,55334,53943,185,9635,152666,49065,27192,10,27,220,3761,3705,100806,1761,166,21746,2522,98,18,17879,578,135257,624326,482584,28246,35429,179625,19554970,2645680,44998,12316,16619,15986,3810980,1479990,1540384,783800,2136263,936,22.8,250,3710,3217,802,79915,1251,82649,11595,299210,74859,16722,22151,11241,12026,13858,43115,12232,31921,61085
2013,R12000,êÁótåß,6201000,3085000,3116000,6123000,3053000,3070000,785000,402000,382000,3903000,1997000,1906000,1505000,681000,824000,48343,24794,23549,1.33,53603,29062,24541,136645,75951,60694,134203,74895,59308,31375,11290,16.6,32.8,1.5,92,1446.5,33412,7328807,1416,52471,70300,201600,569,5743,93295,838,18306,326144,407,10863,166059,55647,54283,185,9552,150964,47553,25649,10,28,215,4043,3875,102048,1711,159,21869,2635,98,19,17834,669,145862,704172,463856,30322,38429,183227,19132000,2036170,49986,15609,17647,16458,4351094,1877896,1579421,869165,2179806,956,23.5,245,3720,3221,759,76687,1340,78768,10685,280173,72684,16458,21492,11090,11756,13611,31777,8895,29966,62444
2012,R12000,êÁótåß,6200000,3087000,3113000,6125000,3056000,3069000,791000,406000,386000,3966000,2027000,1938000,1437000,650000,787000,48881,25169,23712,1.31,53206,28934,24272,132651,73890,58761,140839,78729,62110,32150,11521,15.9,32.3,1.1,119,1614.0,29857,6531702,1435,52136,73600,196400,572,5783,95757,847,18310,329632,408,10750,165610,54860,53478,185,9649,151537,49111,26389,10,29,245,4120,4192,105277,1766,197,22010,2841,104,25,17712,760,167433,798159,444806,31802,40661,218666,17705170,1792120,44807,14236,14786,15463,3949095,1721932,1483524,723888,2190452,960,23.4,243,3688,3205,751,76110,1352,77685,10700,260208,68241,13504,20496,9724,10496,13858,32011,10648,29359,51869
2023,R13000,ìåãûìs,14086000,6914000,7172000,13448000,6594000,6854000,1513000,774000,739000,9368000,4756000,4612000,3205000,1384000,1821000,86348,44109,42239,0.99,137241,71036,66205,406749,213412,193337,348260,187528,160732,71774,20016,17.6,34.3,1.8,90,1396.5,41817,13206971,4422,208699,404400,2228300,959,10643,110422,1323,36462,623631,800,20415,314459,104600,97235,429,19216,299865,93495,69302,34,144,643,53463,7720,681667,3673,499,158962,16620,389,154,126395,24280,270954,1598409,2500539,56161,37738,708608,80273650,34378530,124810,13289,67955,43041,8099215,1531723,3356941,3176991,4046316,795,24.9,588,14894,10608,3611,322135,286,273390,58595,341320,97776,26457,22761,13237,12181,18166,32724,24160,40393,53466
2022,R13000,ìåãûìs,14038000,6889000,7149000,13443000,6595000,6848000,1535000,785000,749000,9301000,4721000,4580000,3202000,1383000,1819000,91097,46762,44335,1.04,139264,71826,67438,399269,208834,190435,365360,196091,169269,75179,19255,16.4,32.0,1.1,109,1615.5,42589,13207858,3774,205381,389100,2139500,969,11011,122669,1327,36041,624426,801,20199,313353,104104,97515,429,19096,299950,96812,70389,36,144,682,52989,8639,678207,4029,611,158565,16644,393,153,134036,19851,279881,1614719,2359265,55629,37621,309458,50915670,5627190,135382,14672,70044,50188,8844454,1698803,3988261,3111297,4150715,821,23.9,581,14689,10696,3615,322379,300,275851,57945,321633,87973,29988,22846,11587,11527,17303,32562,19383,33099,55367
2021,R13000,ìåãûìs,14010000,6875000,7135000,13459000,6606000,6853000,1553000,795000,758000,9255000,4697000,4558000,3202000,1384000,1819000,95404,48916,46488,1.08,127649,66583,61066,388297,204165,184132,377482,202341,175141,69813,19605,16.6,31.6,1.3,107,2052.5,44794,14209320,3654,205327,380900,2113500,976,11138,134456,1328,36134,622820,801,20183,311049,102429,96608,429,19238,301712,98713,70457,36,143,727,52851,9688,676964,4610,832,161846,16126,401,153,146015,19919,294625,1735984,1977338,54342,36984,135957,31559300,1293530,134313,16771,69632,47244,8800966,1929886,3690738,3122686,4182454,829,24.4,587,14327,10678,3523,319476,969,290125,55126,322785,90894,27016,19918,13407,11073,18401,33483,19845,31702,57046
2020,R13000,ìåãûìs,14047594,6898388,7149206,13233213,6492413,6740800,1566840,801834,765006,8944193,4523724,4420469,3107822,1345871,1761951,99661,51169,48492,1.12,121219,63512,57707,401168,211150,190018,362794,197184,165610,73931,20783,16.5,34.1,3.7,108,1590.0,43508,12414511,3620,202260,378100,2145600,984,11202,144095,1328,35618,619291,803,19736,304405,98235,93066,428,19254,306302,98943,68181,37,143,753,52713,10450,673683,4669,691,160260,15121,404,157,149579,22912,299274,1632178,1877869,51928,36076,240890,28915890,4167870,133175,15594,65823,50770,8176225,1761718,3747985,2611171,4242734,839,24.2,588,13889,10642,3370,306055,2343,287079,55075,325010,92079,30206,21596,13502,12070,18417,33290,19338,31559,52953
2019,R13000,ìåãûìs,14007000,6889000,7118000,13442000,6612000,6830000,1553000,794000,760000,9158000,4663000,4496000,3209000,1389000,1820000,101818,52032,49786,1.15,120870,63222,57648,427307,222462,204845,340732,184521,156211,86059,22707,16.5,32.8,1.4,111,1874.0,47424,13951235,3308,188775,374300,2157900,985,11167,150270,1331,35103,614873,804,19524,300377,100463,95647,429,19265,310355,100178,66643,37,140,792,52097,11544,671221,5535,736,156932,14205,405,156,148394,26364,290687,1399699,2586504,77407,54230,764687,72456800,27958830,135619,15748,64352,54413,8702367,1786721,4039796,2781571,4407607,871,22.3,589,13707,10670,3114,308527,3690,279024,53881,332517,89185,26350,21419,11828,14291,16227,36886,19935,37702,58695
2018,R13000,ìåãûìs,13887000,6835000,7053000,13368000,6581000,6787000,1550000,792000,758000,9084000,4630000,4453000,3189000,1380000,1808000,107150,55052,52098,1.20,119253,62466,56787,423617,220246,203371,340843,185815,155028,82716,22706,16.8,32.7,0.6,103,1445.5,49410,13919657,2435,175273,354600,1961400,991,11091,154423,1332,34568,609512,804,19301,300085,102161,97646,429,19333,314385,101723,66150,37,138,788,51931,12657,669191,5545,765,155020,14399,405,156,146364,26605,302637,1421774,2706980,90193,65740,736196,61188190,22320850,148382,16121,72899,58338,9150019,1833239,4350875,2888916,4383468,875,21.6,598,13429,10672,2856,273598,5414,250244,47491,326229,87282,27129,21499,10060,13977,16265,34195,22152,35322,58349
2017,R13000,ìåãûìs,13768000,6782000,6985000,13293000,6550000,6742000,1542000,788000,754000,9021000,4605000,4417000,3160000,1368000,1793000,108990,55818,53172,1.21,116453,61473,54980,419283,218753,200530,343785,187715,156070,84993,23055,15.8,31.8,1.7,95,1430.0,47297,14619926,2024,169224,342600,1824500,995,11120,157418,1335,34036,601414,807,19471,304199,102257,98452,429,19340,316903,101782,65814,38,138,834,51214,13406,665984,6172,1057,154073,14765,403,154,145719,24696,326193,1505384,2743679,99432,71673,706090,55810370,19185930,141935,15301,71261,54725,8652536,1752972,4059993,2783052,4417184,888,21.9,597,13257,10632,2414,235571,8586,226588,40286,333072,86412,26131,21059,12732,14819,16237,33565,20301,37046,64771
2016,R13000,ìåãûìs,13646000,6728000,6918000,13216000,6520000,6697000,1535000,784000,751000,8969000,4583000,4386000,3120000,1350000,1771000,111964,57361,54603,1.24,113415,59824,53591,413444,218211,195233,339267,185944,153323,86010,23470,16.4,31.6,1.8,113,1779.0,48868,16148737,1939,154859,332800,1699300,1004,11191,161275,1339,33414,594053,808,19387,306820,103274,99640,429,19259,318447,102326,67416,38,137,843,51115,14241,659782,6432,1123,152640,14955,402,152,145607,24038,342829,1572540,2725410,107565,76500,663081,51861940,16457420,153621,16309,75183,61640,9762017,1894326,4818825,3011526,4428042,897,22.1,601,13184,10658,2234,219392,8466,212963,37125,321147,84980,27212,20669,11039,14572,14951,32043,18794,35661,61225
2015,R13000,ìåãûìs,13515271,6666690,6848581,12948463,6388206,6560257,1518130,776017,742113,8734155,4448525,4285630,3005516,1301249,1704267,113194,58192,55002,1.24,111673,59164,52509,426084,225877,200207,344388,189163,155225,87169,24135,16.4,30.5,1.8,115,1781.5,49152,14442309,1891,149286,323800,1551400,1010,11099,165348,1351,33191,592158,815,19586,310874,104543,101314,429,19242,316933,100422,66741,39,137,870,50497,14909,654383,6668,1280,151441,14679,404,155,144909,22068,365812,1695737,2584202,115762,85402,565916,52983860,16076970,141862,16582,65538,58938,9073954,1964290,4350305,2712085,4501160,918,22.4,598,12944,10620,2111,209802,7814,205280,35349,331229,84843,27287,23340,10841,15841,14967,33797,19518,36931,63863
2014,R13000,ìåãûìs,13399000,6612000,6788000,13049000,6447000,6602000,1517000,776000,741000,8862000,4531000,4331000,3011000,1301000,1710000,110629,56541,54088,1.15,111024,58865,52159,404736,214691,190045,331456,181607,149849,87000,23653,16.6,31.2,2.5,106,1808.0,50685,15165430,1869,143848,317000,1445700,1023,11167,170673,1355,32658,587983,817,19491,311841,104164,101068,431,19059,316058,100635,67159,43,139,919,50040,15568,651905,7070,1310,151880,15171,409,157,144840,22233,395492,1809922,2448814,120679,89276,531802,49755350,12521400,140430,17348,59921,61170,9432825,2032318,4745549,2524946,4513509,931,22.8,592,12780,10579,1868,188319,8672,188888,31994,324999,82178,26834,23744,11710,15671,15648,35849,13984,38221,61161
2013,R13000,ìåãûìs,13307000,6569000,6738000,12983000,6419000,6563000,1503000,769000,735000,8883000,4543000,4340000,2914000,1255000,1659000,109986,56267,53719,1.13,110507,58810,51697,407711,217183,190528,337539,184940,152599,88067,24855,17.1,33.2,1.8,93,1614.0,55325,15337434,1884,142065,309700,1378000,1039,11181,172467,1358,32335,585535,818,19406,312764,104787,101797,431,19009,312683,98535,65050,43,139,958,49187,16737,653092,7694,1603,152251,15496,413,161,144189,22185,419481,1965147,2320113,122200,89971,525067,47107640,9448940,147978,21352,62188,62933,10320658,2506875,5002901,2709862,4572285,949,23.2,595,12758,10647,1774,179313,8117,181205,30676,333331,81466,29883,23658,11189,15704,15282,34475,17359,38541,65772
2012,R13000,ìåãûìs,13234000,6538000,6697000,12918000,6392000,6526000,1494000,764000,730000,8924000,4565000,4358000,2812000,1206000,1606000,107401,54985,52416,1.09,109194,58203,50991,400274,214231,186043,343777,188358,155419,89301,25329,16.3,33.1,1.8,109,1570.0,52076,15642018,1914,140646,308100,1377600,1042,11120,173642,1363,32246,586412,819,19209,311758,103446,100389,432,18951,315341,101970,66405,44,138,1034,48857,18315,643163,8411,1653,149914,15392,419,163,141989,22563,458578,2133928,2072218,124423,89832,599251,44271200,7918960,141316,19875,54177,66226,10073903,2311735,5274518,2414948,4581633,956,22.9,590,12711,10620,1782,179537,7257,180706,30436,318910,79991,24679,23341,10839,15055,15518,32808,18663,35378,62640
2023,R14000,ê_ìﬁêÏåß,9229000,4578000,4651000,8970000,4447000,4523000,1031000,528000,503000,5808000,2996000,2812000,2390000,1055000,1336000,53991,27797,26194,1.13,98744,52476,46268,211257,114713,96544,189169,105099,84070,38176,13343,18.0,33.7,3.0,87,1377.0,32103,7188464,1297,58730,188400,660500,608,7780,82798,881,26751,439962,471,14833,223823,75275,69601,228,12834,191661,60088,41686,12,33,264,5572,4052,175187,1938,163,34770,4093,106,12,25810,3568,150949,803973,721381,17219,19848,348642,20134930,2424400,64766,11120,25501,28033,4718842,1255990,2313289,1138593,2596102,769,24.2,289,7150,4899,1922,164377,222,153370,28808,306565,87320,11639,22174,14765,12152,16512,34826,17692,36781,52704
2022,R14000,ê_ìﬁêÏåß,9232000,4579000,4653000,8991000,4459000,4531000,1053000,539000,514000,5797000,2988000,2809000,2383000,1053000,1330000,56498,28745,27753,1.17,98821,52605,46216,214924,116348,98576,192432,106908,85524,40191,12797,16.7,31.5,2.2,112,1657.5,34574,7889809,1299,57172,183300,624600,616,7892,89843,882,26493,446637,473,14776,225380,76091,70956,231,12922,193066,62649,42611,13,31,269,5483,4704,173109,2130,200,34889,4064,106,12,26901,3395,155184,820183,722184,17727,20198,139855,16558430,462280,67197,12731,25907,28322,5027879,1458328,2372824,1178521,2694614,801,24.4,291,7093,4983,2053,170144,220,162670,27488,301379,85076,23065,21730,12656,10927,16320,34503,21161,29394,46548
2021,R14000,ê_ìﬁêÏåß,9236000,4584000,4652000,9007000,4471000,4536000,1071000,549000,522000,5789000,2983000,2806000,2376000,1052000,1325000,58836,30238,28598,1.22,89701,47659,42042,217649,117840,99809,188727,105259,83468,38664,13169,17.0,31.2,2.5,105,2056.5,36335,7745542,1330,56493,180600,606000,628,7866,97566,885,26225,451098,472,14785,226599,75512,70702,231,13035,195931,64786,42724,14,31,322,5520,5360,171164,2455,236,34812,3758,106,12,28050,3371,157356,865190,674334,18906,21607,60922,11557630,208240,65474,14914,24293,26087,4947632,1711029,2163625,1064422,2757789,819,24.7,290,6996,4984,2012,173848,306,165014,28203,300152,86471,27698,19933,11581,9486,16613,35797,20442,25565,46566
2020,R14000,ê_ìﬁêÏåß,9237337,4588268,4649069,8876834,4406356,4470478,1085763,556579,529184,5628918,2890461,2738457,2308578,1025663,1282915,60865,31276,29589,1.26,84601,45362,39239,213490,116659,96831,188541,105403,83138,39641,13509,17.0,33.7,4.7,108,1687.5,33564,7811637,1349,57184,179300,590300,634,7841,103613,887,26069,454751,473,14652,224709,73540,69350,231,12993,200230,65293,41154,14,31,338,5488,5754,174710,2596,191,34924,3761,108,12,27979,3508,162187,831994,615617,17567,20239,132184,12290040,514520,61589,13550,22780,25089,4520615,1545398,2003706,960230,2819079,837,24.9,289,6907,4959,1941,165323,496,159800,24907,295913,84137,23113,21477,13281,9093,18723,33451,15685,28787,48166
2019,R14000,ê_ìﬁêÏåß,9224000,4589000,4635000,9004000,4481000,4523000,1099000,563000,536000,5771000,2985000,2786000,2329000,1037000,1291000,63035,32367,30668,1.28,83968,44768,39200,214726,116340,98386,190875,106343,84532,45922,14890,16.9,32.7,2.9,111,1937.0,38708,8435889,1341,55024,179500,583000,645,7880,109053,889,25889,459003,476,14575,223830,75417,71362,235,12979,203674,65684,39958,14,30,340,5378,6120,177372,2664,168,35022,3352,108,12,27445,3493,155321,723523,767225,23310,27268,415424,19981840,2956530,70598,14506,27195,28580,5245160,1653014,2410932,1167014,2856077,848,24.1,289,6820,4948,1855,152564,750,141983,22703,307594,82908,19411,20405,10914,13015,16267,42400,14446,33373,54454
2018,R14000,ê_ìﬁêÏåß,9197000,4579000,4618000,8999000,4484000,4515000,1111000,569000,542000,5761000,2979000,2782000,2305000,1028000,1277000,66564,34335,32229,1.33,82336,43899,38437,212423,115360,97063,193557,107755,85802,45079,14943,17.1,32.2,2.1,104,1573.5,37972,8258593,1341,51525,177800,551600,653,7955,113738,888,25536,461304,477,14547,225555,77128,73269,235,12936,206716,66605,40384,14,30,347,5403,6326,180033,2730,154,36095,3517,108,12,26540,3387,160804,734732,819058,26986,31067,401902,18440910,2471030,73462,13782,28257,31312,5363705,1580939,2647745,1130903,2834103,845,24.3,293,6739,4933,1761,150202,864,141156,22326,301237,80546,26314,19378,10317,12632,15928,32826,14144,31101,58051
2017,R14000,ê_ìﬁêÏåß,9173000,4571000,4602000,8994000,4486000,4508000,1122000,574000,548000,5763000,2979000,2784000,2274000,1015000,1258000,68133,34788,33345,1.34,80354,43286,37068,207941,113252,94689,194786,108864,85922,46275,15370,16.3,31.2,3.1,97,1628.5,39070,8406943,1341,50275,176200,522100,667,8059,118478,887,25328,461553,476,14620,229641,77611,74126,235,12883,207864,66239,40369,15,32,346,5448,6509,179846,2826,168,35652,3772,110,12,26552,3274,172678,772339,830324,30208,34557,389500,17061720,2132020,74756,14006,31665,28738,5409102,1615624,2488769,1285423,2873102,858,24.4,291,6661,4915,1524,129604,756,130844,21236,332034,85457,18750,20075,12662,14681,16228,45332,16578,39351,62921
2016,R14000,ê_ìﬁêÏåß,9152000,4566000,4585000,8988000,4489000,4499000,1135000,581000,554000,5778000,2987000,2791000,2232000,997000,1234000,70649,36257,34392,1.36,77363,41520,35843,205368,112883,92485,193312,108956,84356,46696,15674,16.9,31.3,3.4,116,1969.5,39568,8230567,1362,49915,174500,493900,676,8095,124045,888,25067,462880,475,14631,232971,78659,75216,235,12779,208172,66400,40674,15,31,347,5360,6657,179410,2924,183,35754,3806,110,13,26562,3231,184558,817380,765309,32530,37556,370171,16482910,2081890,77303,15021,32203,29512,5629324,1738993,2558895,1308281,2913221,872,24.8,294,6711,4989,1457,125916,497,126825,20132,325377,84424,18414,20000,9829,14613,16215,41694,15725,36670,67794
2015,R14000,ê_ìﬁêÏåß,9126214,4558978,4567236,8887304,4437047,4450257,1140748,583535,557213,5744383,2961819,2782564,2158157,964254,1193903,73476,37758,35718,1.39,75765,40969,34796,210995,115930,95065,197467,111884,85583,48264,16235,16.7,30.2,2.7,119,1836.0,37956,8012141,1387,49184,173700,436600,688,8217,129500,889,25081,466464,476,14669,235344,79314,75961,235,12589,206616,65311,40139,16,30,362,5283,6949,179100,3097,297,35224,3684,111,14,25897,3174,197482,878971,750765,35087,40239,322424,16449920,2088100,71516,14876,28223,28298,5280424,1731180,2352325,1189458,2954371,884,25.2,294,6648,4951,1354,118557,625,119199,18785,313762,83082,21951,23215,11904,14253,14211,31818,18130,36446,58752
2014,R14000,ê_ìﬁêÏåß,9103000,4551000,4552000,8967000,4489000,4478000,1161000,595000,567000,5820000,3009000,2811000,2115000,945000,1170000,72997,37565,35432,1.31,74387,40411,33976,203866,111968,91898,191011,107756,83255,48852,16005,16.2,30.5,2.5,103,1860.0,37261,7894637,1416,48752,171800,423200,720,8577,137910,889,24895,468512,478,14634,236462,78931,75242,235,12448,205223,64590,39834,16,29,356,5167,7095,178405,3104,283,35353,3630,110,14,25289,3136,211532,944627,718566,36720,42566,306468,16103000,1353540,68314,14323,28224,24993,5126117,1668209,2137133,1257990,2971896,893,25.7,294,6556,4920,1225,110806,1079,114408,17997,298009,75160,19306,22599,10168,12889,16291,37880,13330,33222,57165
2013,R14000,ê_ìﬁêÏåß,9084000,4546000,4538000,8956000,4487000,4468000,1170000,599000,571000,5876000,3038000,2839000,2033000,907000,1126000,74320,38245,36075,1.31,72970,39611,33359,207670,113771,93899,195314,110213,85101,49769,16587,16.6,32.7,1.8,95,1516.5,44511,9506098,1443,55671,169900,402000,724,8511,141407,890,24760,471280,480,14637,237461,79734,75709,236,12353,201949,63150,38502,16,29,358,5149,7240,179331,3148,307,35766,3837,110,17,24558,3066,228922,1061521,664239,38248,44489,310358,14674170,1015740,77359,18426,27311,31481,6225367,2162325,2772012,1283915,3008291,906,25.3,295,6545,4915,1146,103996,1462,106750,17051,309536,77034,21360,22272,9507,12845,14137,40827,16228,37088,58237
